episode,name,score
60,agent-0,-0.009999999776482582
60,agent-1,0.0
60,mean,-0.004999999888241291
61,agent-0,0.0
61,agent-1,-0.009999999776482582
61,mean,-0.004999999888241291
62,agent-0,0.0
62,agent-1,-0.009999999776482582
62,mean,-0.004999999888241291
63,agent-0,-0.009999999776482582
63,agent-1,0.0
63,mean,-0.004999999888241291
64,agent-0,-0.009999999776482582
64,agent-1,0.0
64,mean,-0.004999999888241291
65,agent-0,0.0
65,agent-1,-0.009999999776482582
65,mean,-0.004999999888241291
66,agent-0,-0.009999999776482582
66,agent-1,0.0
66,mean,-0.004999999888241291
67,agent-0,-0.009999999776482582
67,agent-1,0.0
67,mean,-0.004999999888241291
68,agent-0,0.0
68,agent-1,-0.009999999776482582
68,mean,-0.004999999888241291
69,agent-0,0.0
69,agent-1,-0.009999999776482582
69,mean,-0.004999999888241291
70,agent-0,0.0
70,agent-1,0.09000000171363354
70,mean,0.04500000085681677
71,agent-0,0.0
71,agent-1,-0.009999999776482582
71,mean,-0.004999999888241291
72,agent-0,0.0
72,agent-1,-0.009999999776482582
72,mean,-0.004999999888241291
73,agent-0,-0.009999999776482582
73,agent-1,0.0
73,mean,-0.004999999888241291
74,agent-0,-0.009999999776482582
74,agent-1,0.0
74,mean,-0.004999999888241291
75,agent-0,-0.009999999776482582
75,agent-1,0.0
75,mean,-0.004999999888241291
76,agent-0,-0.009999999776482582
76,agent-1,0.0
76,mean,-0.004999999888241291
77,agent-0,0.0
77,agent-1,-0.009999999776482582
77,mean,-0.004999999888241291
78,agent-0,-0.009999999776482582
78,agent-1,0.10000000149011612
78,mean,0.04500000085681677
79,agent-0,-0.009999999776482582
79,agent-1,0.0
79,mean,-0.004999999888241291
80,agent-0,0.0
80,agent-1,-0.009999999776482582
80,mean,-0.004999999888241291
81,agent-0,0.10000000149011612
81,agent-1,-0.009999999776482582
81,mean,0.04500000085681677
82,agent-0,0.0
82,agent-1,0.09000000171363354
82,mean,0.04500000085681677
83,agent-0,-0.009999999776482582
83,agent-1,0.0
83,mean,-0.004999999888241291
84,agent-0,-0.009999999776482582
84,agent-1,0.10000000149011612
84,mean,0.04500000085681677
85,agent-0,-0.009999999776482582
85,agent-1,0.0
85,mean,-0.004999999888241291
86,agent-0,0.0
86,agent-1,-0.009999999776482582
86,mean,-0.004999999888241291
87,agent-0,0.10000000149011612
87,agent-1,0.09000000171363354
87,mean,0.09500000160187483
88,agent-0,0.0
88,agent-1,-0.009999999776482582
88,mean,-0.004999999888241291
89,agent-0,-0.009999999776482582
89,agent-1,0.0
89,mean,-0.004999999888241291
90,agent-0,-0.009999999776482582
90,agent-1,0.0
90,mean,-0.004999999888241291
91,agent-0,0.0
91,agent-1,-0.009999999776482582
91,mean,-0.004999999888241291
92,agent-0,0.0
92,agent-1,-0.009999999776482582
92,mean,-0.004999999888241291
93,agent-0,-0.009999999776482582
93,agent-1,0.0
93,mean,-0.004999999888241291
94,agent-0,-0.009999999776482582
94,agent-1,0.0
94,mean,-0.004999999888241291
95,agent-0,-0.009999999776482582
95,agent-1,0.0
95,mean,-0.004999999888241291
96,agent-0,0.10000000149011612
96,agent-1,-0.009999999776482582
96,mean,0.04500000085681677
97,agent-0,-0.009999999776482582
97,agent-1,0.0
97,mean,-0.004999999888241291
98,agent-0,0.10000000149011612
98,agent-1,-0.009999999776482582
98,mean,0.04500000085681677
99,agent-0,0.0
99,agent-1,0.09000000171363354
99,mean,0.04500000085681677
99,rolling-mean 100,0.007000000290572643
100,agent-0,-0.009999999776482582
100,agent-1,0.0
100,mean,-0.004999999888241291
100,rolling-mean 100,0.007000000290572643
101,agent-0,-0.009999999776482582
101,agent-1,0.0
101,mean,-0.004999999888241291
101,rolling-mean 100,0.007000000290572643
102,agent-0,-0.009999999776482582
102,agent-1,0.0
102,mean,-0.004999999888241291
102,rolling-mean 100,0.007000000290572643
103,agent-0,-0.009999999776482582
103,agent-1,0.0
103,mean,-0.004999999888241291
103,rolling-mean 100,0.007000000290572643
104,agent-0,0.0
104,agent-1,-0.009999999776482582
104,mean,-0.004999999888241291
104,rolling-mean 100,0.007000000290572643
105,agent-0,0.0
105,agent-1,-0.009999999776482582
105,mean,-0.004999999888241291
105,rolling-mean 100,0.006000000275671482
106,agent-0,0.09000000171363354
106,agent-1,0.20000000298023224
106,mean,0.1450000023469329
106,rolling-mean 100,0.007500000298023224
107,agent-0,0.0
107,agent-1,-0.009999999776482582
107,mean,-0.004999999888241291
107,rolling-mean 100,0.007000000290572643
108,agent-0,0.0
108,agent-1,-0.009999999776482582
108,mean,-0.004999999888241291
108,rolling-mean 100,0.007000000290572643
109,agent-0,-0.009999999776482582
109,agent-1,0.0
109,mean,-0.004999999888241291
109,rolling-mean 100,0.007000000290572643
110,agent-0,-0.009999999776482582
110,agent-1,0.0
110,mean,-0.004999999888241291
110,rolling-mean 100,0.007000000290572643
111,agent-0,-0.009999999776482582
111,agent-1,0.0
111,mean,-0.004999999888241291
111,rolling-mean 100,0.006000000275671482
112,agent-0,-0.009999999776482582
112,agent-1,0.0
112,mean,-0.004999999888241291
112,rolling-mean 100,0.006000000275671482
113,agent-0,-0.009999999776482582
113,agent-1,0.0
113,mean,-0.004999999888241291
113,rolling-mean 100,0.005000000260770321
114,agent-0,0.0
114,agent-1,-0.009999999776482582
114,mean,-0.004999999888241291
114,rolling-mean 100,0.005000000260770321
115,agent-0,0.10000000149011612
115,agent-1,0.09000000171363354
115,mean,0.09500000160187483
115,rolling-mean 100,0.006000000275671482
116,agent-0,-0.009999999776482582
116,agent-1,0.0
116,mean,-0.004999999888241291
116,rolling-mean 100,0.006000000275671482
117,agent-0,0.0
117,agent-1,-0.009999999776482582
117,mean,-0.004999999888241291
117,rolling-mean 100,0.006000000275671482
118,agent-0,0.0
118,agent-1,-0.009999999776482582
118,mean,-0.004999999888241291
118,rolling-mean 100,0.006000000275671482
119,agent-0,0.0
119,agent-1,-0.009999999776482582
119,mean,-0.004999999888241291
119,rolling-mean 100,0.006000000275671482
